airline_id,name,alias,code,callsign,country,active
1639,Capitol Air Express,\N,CEX,CAPITOL EXPRESS,United States,False
1640,Capitol Wings Airline,\N,CWZ,CAPWINGS,United States,False
1641,Caravan Air,\N,VAN,CAMEL,Mauritania,False
1642,Cardiff Wales Flying Club,\N,CWN,CAMBRIAN,United Kingdom,False
1643,Cardinal/Air Virginia,\N,FVA,AIR VIRGINIA,United States,False
1644,Cardolaar,\N,GOL,CARGOLAAR,Namibia,False
1645,Cards Air Services,\N,CDI,CARDS,Philippines,False
1646,Care Flight,\N,CFH,CARE FLIGHT,Australia,False
1647,Carga Aerea Dominicana,\N,CDM,CARGA AEREA,Dominican Republic,False
1648,Carga Express Internacional,\N,EST,CARGAINTER,Mexico,False
1649,Cargo 360,\N,GGC,LONG-HAUL,United States,False
1650,Cargo Express,\N,MCX,MAURICARGO,Mauritania,False
1651,Cargo Ivoire,\N,CRV,CARGOIV,Ivory Coast,False
1652,Cargo Link (Caribbean),\N,CLM,CARGO LINK,Barbados,False
1653,Cargo Three,\N,CTW,THIRD CARGO,Panama,False
1654,Cargoitalia,\N,CRG,WHITE PELICAN,Italy,False
1655,Cargojet Airways,\N,CJT,CARGOJET,Canada,False
1656,Cargolux,\N,CLX,CARGOLUX,Luxembourg,False
1657,Cargoman,\N,CGM,HOTEL CHARLIE,Oman,False
1658,Carib Aviation,\N,DEL,RED TAIL,Antigua and Barbuda,False
1659,Carib Express,\N,BCB,WAVEBIRD,Barbados,False
1660,Caribair,\N,CBC,CARIBAIR,Dominican Republic,False
1661,Caribbean Air Cargo,\N,DCC,CARICARGO,Barbados,False
1662,Caribbean Air Transport,\N,CLT,CARIBBEAN,Netherlands,False
1663,Caribbean Airlines,\N,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,True
1664,Caribbean Airways,\N,IQQ,CARIBJET,Barbados,False
1665,Caribbean Express,\N,TLC,CARIB-X,United States,False
